event_date,year,event_type,detail,pdf_url,keyword,source
2021-12-24,2021,重大资产重组,招商证券关于远兴能源本次交易相关主体是否存在《关于加强与上市公司重大资产重组相关股票异常交易监管的暂行规定》第十三条不得参与上市公司重大资产重组情形的核查意见,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001636.PDF,重大资产重组,巨潮资讯网
2021-12-24,2021,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条规定的说明,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001620.PDF,重大资产重组,巨潮资讯网
2021-12-24,2021,收购/并购,内蒙古远兴能源股份有限公司拟收购股权并对其增资所涉及到的内蒙古博源银根矿业有限责任公司股权价值项目资产评估报告,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001649.PDF,股权收购,巨潮资讯网
2021-12-24,2021,重大资产重组,董事会关于本次交易相关主体是否存在《关于加强与上市公司重大资产重组相关股票异常交易监管的暂行规定》第十三条不得参与上市公司重大资产重组情形的说明,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001624.PDF,重大资产重组,巨潮资讯网
2021-12-24,2021,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）摘要,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001643.PDF,重大资产购买,巨潮资讯网
2021-12-24,2021,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001652.PDF,重大资产购买,巨潮资讯网
2021-12-24,2021,重大资产重组,董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市情形的说明,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001618.PDF,重大资产重组,巨潮资讯网
2021-12-24,2021,重大资产重组,董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条规定的说明,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001619.PDF,重大资产重组,巨潮资讯网
2021-12-31,2021,重大资产重组,北京市康达律师事务所关于内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易项目相关内幕信息知情人买卖股票情况的专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069021.PDF,重大资产购买,巨潮资讯网
2021-12-31,2021,重大资产重组,北京市康达律师事务所关于内蒙古远兴能源股份有限公司重大资产重组前业绩异常或本次重组存在拟置出资产情形的专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069022.PDF,重大资产重组,巨潮资讯网
2021-12-31,2021,重大资产重组,中通诚资产评估有限公司关于内蒙古远兴能源股份有限公司重大资产重组前发生业绩变脸或本次重组存在拟置出资产情形相关事项之专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069019.PDF,重大资产重组,巨潮资讯网
2021-12-31,2021,重大资产重组,信永中和会计师事务所（特殊普通合伙）关于内蒙古远兴能源股份有限公司重大资产重组前发生业绩变脸或本次重组存在拟置出资产情形相关事项之专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069020.PDF,重大资产重组,巨潮资讯网
2021-12-31,2021,重大资产重组,招商证券股份有限公司关于内蒙古远兴能源股份有限公司重大资产重组前发生业绩变脸或本次重组存在拟置出资产情形相关事项之专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069016.PDF,重大资产重组,巨潮资讯网
